Site,HouseID,REP#,CoreID,Depth,LU_Current,LU_Previous,Yr_Built,Lawn Age,CoarseVeg,StructDen,BD,N_Perc,C_Perc,C_N,N_gm2,C_gm2,Sand_Perc,Clay_Perc,Silt_Perc,MB Carbon,Respiration,Initial NO3 (+NO2),Initial NH4,MBN,Net N Min,Net Nitr
House28,28,2,28.2,0to10,Residential,Forest,1968,39,2+,2+,0.98,0.276,3.499,12.665,270.729,3428.712,,,,534.09,4.046,8.589,0.588,59.7,0.536,0.525
House28,28,1,28.1,10to30,Residential,Forest,1968,39,2+,2+,1.192,0.082,0.954,11.627,195.484,2272.949,26.927,27.277,45.796,144.51,3.968,8.117,2.158,17.301,-0.055,0.007
House28,28,2,28.2,10to30,Residential,Forest,1968,39,2+,2+,1.314,0.093,1.15,12.403,243.603,3021.404,22.308,29.728,47.964,139.33,4.427,4.16,3.03,16.6,0.397,0.366
House28,28,1,28.1,30to70,Residential,Forest,1968,39,2+,2+,1.362,0.028,0.286,10.18,152.884,1556.34,31.392,36.241,32.367,64.12,2.77,1.623,0.609,2.658,0.051,0.026
House28,28,2,28.2,30to70,Residential,Forest,1968,39,2+,2+,1.301,0.024,0.201,8.496,123.232,1047.007,34.484,33.508,32.008,66.97,2.721,0.548,1.743,2.69,0.053,0
House28,28,1,28.1,70to100,Residential,Forest,1968,39,2+,2+,1.308,0.015,0.085,5.725,57.956,331.771,39.03,40.98,19.99,49.93,2.556,0.865,0.254,2.123,0.031,-0.005
House28,28,2,28.2,70to100,Residential,Forest,1968,39,2+,2+,1.359,0.016,0.1,6.186,66.014,408.388,36.703,38.529,24.769,65.6,2.8,0.248,0.497,0.988,0.03,0
House29,29,1,29.1,0to10,Residential,Forest,1968,39,2+,2+,0.95,0.208,2.184,10.486,197.78,2074.018,52.512,16.246,31.242,810.94,8.452,12.271,0.774,75.458,1.176,1.166
House29,29,2,29.2,0to10,Residential,Forest,1968,39,2+,2+,0.992,0.204,2.141,10.497,202.395,2124.504,,,,739.57,14.736,13.85,0.701,72.439,0.641,0.653
House29,29,1,29.1,10to30,Residential,Forest,1968,39,2+,2+,1.348,0.057,0.711,12.44,154.103,1916.978,59.051,18.976,21.973,263.22,2.739,7.505,8.205,24.083,0.153,0.949
House29,29,2,29.2,10to30,Residential,Forest,1968,39,2+,2+,1.221,0.076,1.396,18.243,186.777,3407.365,44.07,24.969,30.961,194.24,6.724,5.36,7.708,16.498,-0.018,0.516
House29,29,1,29.1,30to70,Residential,Forest,1968,39,2+,2+,1.117,0.054,1.789,33.031,241.896,7989.99,41.802,31.539,26.658,173.87,7.006,2.467,0.257,5.38,-0.025,-0.025
House29,29,2,29.2,30to70,Residential,Forest,1968,39,2+,2+,1.264,0.045,0.706,15.864,225.065,3570.495,48.962,24.018,27.02,194.01,6.381,2.132,0.992,7.242,-0.016,0.058
House29,29,1,29.1,70to100,Residential,Forest,1968,39,2+,2+,1.213,0.078,1.462,18.815,282.708,5319.078,48.323,23.774,27.903,220.9,5.935,1.219,2.896,7.098,0.148,0.201
House29,29,2,29.2,70to100,Residential,Forest,1968,39,2+,2+,1.259,0.076,0.921,12.121,286.888,3477.303,57.136,17.746,25.119,283.7,11.755,9.729,1.905,22.393,0.045,0.209
House30,30,1,30.1,0to10,Residential,Forest,1952,55,4+,1,1.026,0.161,2.304,14.348,164.77,2364.2,38.344,22.261,39.395,,,,,,,
House30,30,2,30.2,0to10,Residential,Forest,1952,55,4+,1,1.026,0.174,2.882,16.521,179.004,2957.277,38.344,22.261,39.395,317.42,11.045,12.835,0.983,38.105,-0.592,-0.575
House30,30,1,30.1,10to30,Residential,Forest,1952,55,4+,1,1.245,0.104,1.606,15.474,258.442,3999.11,35.795,25.031,39.174,,,,,,,
House30,30,2,30.2,10to30,Residential,Forest,1952,55,4+,1,1.245,0.071,1.967,27.698,176.83,4897.833,28.375,28.75,42.875,155.68,4.005,8.548,1.002,13.376,0.306,0.374
House30,30,1,30.1,30to70,Residential,Forest,1952,55,4+,1,1.297,0.04,0.532,13.465,204.868,2758.625,37.719,25.013,37.269,88.59,3.17,1.142,0.571,1.641,-0.029,-0.001
House30,30,2,30.2,30to70,Residential,Forest,1952,55,4+,1,1.42,0.035,0.427,12.067,201.191,2427.722,33.875,29.5,36.625,113.83,2.449,1.64,0.264,2.428,0.017,0.017
House30,30,1,30.1,70to100,Residential,Forest,1952,55,4+,1,1.662,0.047,0.579,12.201,236.756,2888.764,32.324,20.766,46.91,149.03,3.608,1.084,0.568,2.464,0.005,0.033
House30,30,2,30.2,70to100,Residential,Forest,1952,55,4+,1,0.935,0.049,0.585,11.872,138.267,1641.546,33.342,21.261,45.398,94.6,2.716,1.356,0.261,1.176,0.074,0.074
